PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
93142;93142;93142;90402;;;;;;;;
71394;71394;71394;45127;;;;;;;;
35630;35630;35630;91154;;;;;;;;
72160;72160;72160;90403;;;;;;;;
60486;60486;60486;90449;;;;;;;;
65428;65428;65428;97993;;;;;;;;
64289;64289;64289;90556;;;;;;;;
32683;32683;32683;90461;;;;;;;;
65366;65366;65366;90425;;;;;;;;
27283;27283;27283;56564;;;;;;;;
21465;21465;21465;60528;;;;;;;;
28865;28865;28865;33106;;;;;;;;
65366;65366;65366;78333;;;;;;;;
30853;30853;30853;63457;;;;;;;;
Hamburg;20095;20095;64546;;;;;;;;
Hamburg;20095;20095;71642;;;;;;;;
65366;65366;65366;74081;;;;;;;;
27383;27383;27383;16761;;;;;;;;
25421;25421;25421;77933;;;;;;;;
64289;64289;64289;69412;;;;;;;;
Bad Iburg, Deuts;Keine Angabe;;38226;;;;;;;;
32683;32683;32683;38229;;;;;;;;
63225;63225;63225;64846;;;;;;;;
34613;34613;34613;1111;;;;;;;;
Kassel;34117;34117;55246;;;;;;;;
37269;37269;37269;78048;;;;;;;;
13629;13629;13629;49074;;;;;;;;
Filderstadt;70629;70629;85774;;;;;;;;
;Keine Angabe;;26121;;;;;;;;
;Keine Angabe;;64367;;;;;;;;
;Keine Angabe;;90427;;;;;;;;
;Keine Angabe;;90329;;;;;;;;
64668;64668;64668;91541;;;;;;;;
64297;64297;64297;90489;;;;;;;;
69115;69115;69115;91056;;;;;;;;
64560;64560;64560;90482;;;;;;;;
64297;64297;64297;91564;;;;;;;;
64283;64283;64283;48282;;;;;;;;
64295;64295;64295;50678;;;;;;;;
64295;64295;64295;61169;;;;;;;;
;Keine Angabe;;55756;;;;;;;;
65428;65428;65428;41069;;;;;;;;
34119;34119;34119;80331;;;;;;;;
61462;61462;61462;64753;;;;;;;;
34123;34123;34123;50226;;;;;;;;
76137;76137;76137;47051;;;;;;;;
65760;65760;65760;72178;;;;;;;;
61476;61476;61476;22045;;;;;;;;
35102;35102;35102;65187;;;;;;;;
60327;60327;60327;66121;;;;;;;;
80788;80788;80788;56203;;;;;;;;
90762;90762;90762;91207;;;;;;;;
Kassel;34117;34117;36396;;;;;;;;
35088;35088;35088;64823;;;;;;;;
34613;34613;34613;63868;;;;;;;;
35066;35066;35066;97318;;;;;;;;
35287;35287;35287;23552;;;;;;;;
Kassel;34117;34117;36043;;;;;;;;
59969;59969;59969;74613;;;;;;;;
34590;34590;34590;71336;;;;;;;;
34590;34590;34590;65795;;;;;;;;
34123;34123;34123;35216;;;;;;;;
41065;41065;41065;67542;;;;;;;;
37242;37242;37242;33100;;;;;;;;
64293;64293;64293;74706;;;;;;;;
87527;87527;87527;68519;;;;;;;;
87527;87527;87527;69488;;;;;;;;
87527;87527;87527;64807;;;;;;;;
34590;34590;34590;63743;;;;;;;;
87527;87527;87527;64285;;;;;;;;
34127;34127;34127;86647;;;;;;;;
87527;87527;87527;69121;;;;;;;;
